Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01	10.08	-10.66	7.27	-10.05	130.87
1961-02-01	3.88	-9.83	4.02	-8.84	118.72
1961-03-01	14.66	-6.24	13.40	-6.05	128.89
1961-04-01	19.15	-0.52	18.95	-1.17	213.64
1961-05-01	60.08	2.03	63.51	1.45	409.60
1961-06-01	89.87	8.02	102.70	7.32	791.53
1961-07-01	115.20	9.16	130.54	7.75	1055.26
1961-08-01	139.58	9.01	160.02	7.67	978.71
1961-09-01	57.25	4.85	70.96	3.65	859.13
1961-10-01	38.06	1.77	37.33	0.91	516.86
1961-11-01	12.35	-8.11	13.64	-8.64	289.85
1961-12-01	4.12	-14.27	3.30	-13.96	172.26
1962-01-01	3.90	-13.68	3.73	-13.05	188.77
1962-02-01	5.52	-11.44	5.65	-9.97	171.24
1962-03-01	5.20	-8.37	4.05	-7.86	185.91
1962-04-01	13.25	-0.87	13.97	-1.28	308.16
1962-05-01	74.35	2.22	75.79	1.03	590.82
1962-06-01	110.30	6.60	120.76	5.79	1141.72
1962-07-01	135.34	8.88	139.41	7.72	1522.13
1962-08-01	163.19	7.27	175.18	5.90	1411.70
1962-09-01	68.37	5.92	85.05	4.24	1239.22
1962-10-01	12.13	-0.07	21.49	-0.95	745.52
1962-11-01	1.91	-5.98	9.56	-5.98	418.09
1962-12-01	3.97	-11.78	9.83	-11.29	248.47
1963-01-01	1.48	-15.10	2.01	-14.40	179.24
1963-02-01	1.97	-11.07	2.65	-10.06	162.59
1963-03-01	9.96	-6.76	7.87	-6.60	176.52
1963-04-01	14.94	-0.61	14.42	-1.26	292.59
1963-05-01	44.37	3.65	47.67	2.81	560.97
1963-06-01	130.94	5.59	150.25	4.58	1084.03
1963-07-01	133.58	8.83	145.61	7.60	1445.22
1963-08-01	120.74	8.37	125.41	7.01	1340.37
1963-09-01	95.21	6.50	106.90	5.09	1176.60
1963-10-01	31.24	-1.32	29.35	-2.41	707.85
1963-11-01	6.96	-8.77	5.29	-9.49	396.96
1963-12-01	1.18	-13.33	1.60	-12.99	235.91
1964-01-01	4.31	-12.50	3.80	-11.30	160.07
1964-02-01	6.45	-9.14	5.89	-8.39	145.20
1964-03-01	3.63	-5.71	3.60	-5.75	157.64
1964-04-01	8.12	0.32	8.91	-0.36	261.30
1964-05-01	32.49	3.24	35.44	2.55	500.98
1964-06-01	133.76	5.91	148.08	5.14	968.11
1964-07-01	117.90	8.61	127.70	7.44	1290.68
1964-08-01	124.84	7.65	135.77	6.28	1197.04
1964-09-01	92.10	6.29	105.48	4.82	1050.78
1964-10-01	19.46	2.19	20.59	1.10	632.16
1964-11-01	2.31	-6.00	3.07	-6.72	354.51
1964-12-01	4.28	-10.68	3.55	-10.44	210.68
1965-01-01	1.03	-12.20	1.71	-11.54	203.52
1965-02-01	3.64	-9.88	3.77	-9.33	184.62
1965-03-01	8.02	-7.85	6.78	-7.11	200.44
1965-04-01	16.90	-1.30	17.26	-1.66	332.23
1965-05-01	48.35	3.30	51.09	2.60	636.97
1965-06-01	159.78	6.28	172.60	4.93	1230.90
1965-07-01	130.59	7.90	139.42	6.62	1641.02
1965-08-01	131.18	6.53	144.19	5.33	1521.97
1965-09-01	89.52	4.63	102.36	3.41	1336.01
1965-10-01	27.05	-1.34	25.45	-2.53	803.75
1965-11-01	6.84	-9.02	5.71	-8.78	450.74
1965-12-01	2.09	-12.09	2.31	-10.62	267.87
1966-01-01	3.42	-12.11	3.63	-12.57	141.00
1966-02-01	4.57	-8.28	4.94	-7.94	127.90
1966-03-01	7.67	-3.80	6.64	-3.64	138.86
1966-04-01	9.66	-0.83	9.62	-1.50	230.17
1966-05-01	28.47	3.87	34.39	3.64	441.29
1966-06-01	78.46	5.80	96.53	4.79	852.76
1966-07-01	132.27	9.51	139.05	8.30	1136.89
1966-08-01	133.17	9.03	140.02	7.61	1054.41
1966-09-01	94.58	4.53	98.96	3.35	925.58
1966-10-01	27.74	-2.29	28.42	-3.41	556.84
1966-11-01	7.16	-6.60	5.62	-5.97	312.27
1966-12-01	1.07	-10.10	1.67	-9.51	185.58
1967-01-01	1.80	-11.76	2.46	-11.23	112.20
1967-02-01	4.80	-10.06	5.10	-9.73	101.78
1967-03-01	11.94	-6.48	10.29	-6.71	110.50
1967-04-01	7.04	-1.89	7.34	-2.01	183.16
1967-05-01	28.75	3.42	32.31	2.70	351.16
1967-06-01	104.35	5.48	119.37	4.71	678.60
1967-07-01	97.83	8.48	117.15	7.50	904.70
1967-08-01	116.63	8.78	122.96	7.70	839.07
1967-09-01	75.18	5.18	91.78	3.93	736.55
1967-10-01	36.88	-1.17	36.87	-2.29	443.11
1967-11-01	9.63	-9.47	8.04	-10.00	248.50
1967-12-01	1.55	-13.15	1.89	-13.50	147.68
1968-01-01	5.35	-13.05	5.01	-13.23	128.00
1968-02-01	7.90	-11.83	5.81	-11.23	120.00
1968-03-01	13.99	-5.93	11.08	-5.93	142.00
1968-04-01	16.75	-2.29	16.55	-2.82	263.00
1968-05-01	42.63	3.04	45.05	2.66	477.00
1968-06-01	116.37	5.77	136.26	4.70	686.00
1968-07-01	92.11	7.73	110.16	6.75	834.00
1968-08-01	84.26	7.19	99.14	6.17	647.00
1968-09-01	87.91	6.23	107.22	4.85	671.00
1968-10-01	21.06	-1.45	20.21	-1.91	469.00
1968-11-01	2.80	-6.83	3.15	-7.07	240.00
1968-12-01	2.14	-9.10	2.02	-9.67	157.00
1969-01-01	5.35	-10.58	4.66	-10.47	137.00
1969-02-01	0.67	-8.01	2.06	-7.31	116.00
1969-03-01	4.59	-4.16	4.19	-4.10	130.00
1969-04-01	12.80	-0.42	13.53	-1.08	166.00
1969-05-01	27.87	4.34	34.97	3.79	207.00
1969-06-01	122.40	6.38	126.87	5.58	444.00
1969-07-01	117.82	8.45	118.03	7.30	1060.00
1969-08-01	95.96	7.77	95.31	6.71	772.00
1969-09-01	94.45	5.55	115.69	4.16	990.00
1969-10-01	16.10	-0.81	18.95	-2.20	495.00
1969-11-01	1.94	-6.40	2.31	-6.80	256.00
1969-12-01	0.86	-10.54	1.43	-10.07	163.00
1970-01-01	3.99	-12.44	3.72	-11.97	139.00
1970-02-01	3.82	-10.80	4.33	-10.02	122.00
1970-03-01	13.75	-6.00	11.11	-5.24	128.00
1970-04-01	10.54	-2.32	11.49	-2.32	179.00
1970-05-01	45.39	2.85	49.14	2.33	283.00
1970-06-01	113.22	5.91	134.52	5.18	610.00
1970-07-01	197.05	9.02	208.11	7.78	1560.00
1970-08-01	95.02	8.12	113.38	6.81	1340.00
1970-09-01	80.47	5.67	96.54	4.22	556.00
1970-10-01	25.34	-0.59	26.13	-1.86	501.00
1970-11-01	6.35	-7.20	5.75	-7.75	270.00
1970-12-01	0.84	-10.13	1.26	-9.86	166.00
1971-01-01	5.62	-12.86	5.34	-12.04	141.00
1971-02-01	4.15	-10.89	4.61	-10.35	124.00
1971-03-01	7.16	-5.53	6.42	-5.14	143.00
1971-04-01	22.92	-0.11	22.17	-0.68	207.00
1971-05-01	70.62	2.19	76.02	1.19	404.00
1971-06-01	102.45	5.97	128.34	5.39	1210.00
1971-07-01	75.17	9.06	92.60	8.15	774.00
1971-08-01	89.72	7.97	106.87	7.07	650.00
1971-09-01	70.95	6.29	85.84	5.23	500.00
1971-10-01	51.89	-0.09	51.35	-0.65	365.00
1971-11-01	12.47	-8.90	9.51	-8.81	224.00
1971-12-01	0.88	-13.14	1.21	-12.77	157.00
1972-01-01	2.67	-9.34	2.91	-9.79	143.00
1972-02-01	11.47	-8.94	10.07	-8.71	114.00
1972-03-01	6.09	-3.40	5.79	-3.86	144.00
1972-04-01	23.91	-1.62	24.15	-2.26	178.00
1972-05-01	33.11	4.10	40.37	3.26	360.00
1972-06-01	89.18	6.61	109.07	5.81	421.00
1972-07-01	143.45	10.58	159.06	9.29	849.00
1972-08-01	47.35	9.40	65.15	8.19	641.00
1972-09-01	89.51	4.81	109.82	3.50	546.00
1972-10-01	36.96	-0.81	36.05	-1.78	406.00
1972-11-01	4.23	-9.02	4.05	-10.10	205.00
1972-12-01	4.07	-10.36	2.88	-10.68	147.00
1973-01-01	4.91	-9.96	4.50	-9.87	117.00
