Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01					277.00
1961-02-01					257.00
1961-03-01					416.00
1961-04-01					617.00
1961-05-01					931.00
1961-06-01					1360.00
1961-07-01					1940.00
1961-08-01					2180.00
1961-09-01					1410.00
1961-10-01					925.00
1961-11-01					559.00
1961-12-01					357.00
1962-01-01					273.00
1962-02-01					259.00
1962-03-01					260.00
1962-04-01					560.00
1962-05-01					798.00
1962-06-01					1940.00
1962-07-01					2160.00
1962-08-01					4230.00
1962-09-01					2950.00
1962-10-01					1060.00
1962-11-01					646.00
1962-12-01					410.00
1963-01-01					318.00
1963-02-01					286.00
1963-03-01					323.00
1963-04-01					407.00
1963-05-01					570.00
1963-06-01					1620.00
1963-07-01					2760.00
1963-08-01					2510.00
1963-09-01					1940.00
1963-10-01					1270.00
1963-11-01					648.00
1963-12-01					387.00
1964-01-01					297.00
1964-02-01					294.00
1964-03-01					336.00
1964-04-01					622.00
1964-05-01					775.00
1964-06-01					1230.00
1964-07-01					2110.00
1964-08-01					2430.00
1964-09-01					2150.00
1964-10-01					1280.00
1964-11-01					647.00
1964-12-01					426.00
1965-01-01					319.00
1965-02-01					298.00
1965-03-01					296.00
1965-04-01					418.00
1965-05-01					641.00
1965-06-01					2070.00
1965-07-01					3030.00
1965-08-01					2950.00
1965-09-01					2640.00
1965-10-01					1370.00
1965-11-01					743.00
1965-12-01					491.00
1966-01-01					357.00
1966-02-01					328.00
1966-03-01					365.00
1966-04-01					527.00
1966-05-01					713.00
1966-06-01					1340.00
1966-07-01					1690.00
1966-08-01					3020.00
1966-09-01					2910.00
1966-10-01					1190.00
1966-11-01					661.00
1966-12-01					449.00
1967-01-01					341.00
1967-02-01					309.00
1967-03-01					342.00
1967-04-01					440.00
1967-05-01					718.00
1967-06-01					1060.00
1967-07-01					1520.00
1967-08-01					1510.00
1967-09-01					1140.00
1967-10-01					914.00
1967-11-01					493.00
1967-12-01					327.00
1968-01-01					265.00
1968-02-01					249.00
1968-03-01					299.00
1968-04-01					499.00
1968-05-01					1000.00
1968-06-01					1390.00
1968-07-01					1810.00
1968-08-01					1460.00
1968-09-01					1290.00
1968-10-01					866.00
1968-11-01					479.00
1968-12-01					328.00
1969-01-01					258.00
1969-02-01					244.00
1969-03-01					274.00
1969-04-01					390.00
1969-05-01					483.00
1969-06-01					925.00
1969-07-01					1940.00
1969-08-01					1550.00
1969-09-01					1850.00
1969-10-01					915.00
1969-11-01					512.00
1969-12-01					329.00
1970-01-01					247.00
1970-02-01					236.00
1970-03-01					333.00
1970-04-01					598.00
1970-05-01					1000.00
1970-06-01					1340.00
1970-07-01					2660.00
1970-08-01					2740.00
1970-09-01					1130.00
1970-10-01					1100.00
1970-11-01					592.00
1970-12-01					373.00
1971-01-01					285.00
1971-02-01					262.00
1971-03-01					295.00
1971-04-01					450.00
1971-05-01					683.00
1971-06-01					1740.00
1971-07-01					1440.00
1971-08-01					1420.00
1971-09-01					900.00
1971-10-01					789.00
1971-11-01					479.00
1971-12-01					298.00
1972-01-01					237.00
1972-02-01					245.00
1972-03-01					312.00
1972-04-01					459.00
1972-05-01					768.00
1972-06-01					907.00
1972-07-01					1700.00
1972-08-01					1610.00
1972-09-01					1150.00
1972-10-01					784.00
1972-11-01					450.00
1972-12-01					301.00
1973-01-01					244.00
1973-02-01					241.00
1973-03-01					298.00
1973-04-01					584.00
1973-05-01					724.00
1973-06-01					1180.00
1973-07-01					1040.00
1973-08-01					1530.00
1973-09-01					1130.00
1973-10-01					651.00
1973-11-01					481.00
1973-12-01					311.00
1974-01-01					238.00
1974-02-01					229.00
1974-03-01					288.00
1974-04-01					504.00
1974-05-01					697.00
1974-06-01					1550.00
1974-07-01					2360.00
1974-08-01					2570.00
1974-09-01					2600.00
1974-10-01					1210.00
1974-11-01					626.00
1974-12-01					414.00
1975-01-01					295.00
1975-02-01					287.00
1975-03-01					305.00
1975-04-01					638.00
1975-05-01					793.00
1975-06-01					1230.00
1975-07-01					1750.00
1975-08-01					1740.00
1975-09-01					1470.00
1975-10-01					1020.00
1975-11-01					595.00
1975-12-01					340.00
1976-01-01					268.00
1976-02-01					249.00
1976-03-01					342.00
1976-04-01					598.00
1976-05-01					854.00
1976-06-01					1710.00
1976-07-01					1760.00
1976-08-01					1400.00
1976-09-01					1370.00
1976-10-01					817.00
1976-11-01					478.00
1976-12-01					331.00
1977-01-01					255.00
1977-02-01					260.00
1977-03-01					334.00
1977-04-01					509.00
1977-05-01					716.00
1977-06-01					1630.00
1977-07-01					1710.00
1977-08-01					1810.00
1977-09-01					1310.00
1977-10-01					895.00
1977-11-01					493.00
1977-12-01					325.00
1978-01-01					248.00
1978-02-01					237.00
1978-03-01					265.00
1978-04-01					517.00
1978-05-01					996.00
1978-06-01					1710.00
1978-07-01					1630.00
1978-08-01					1790.00
1978-09-01					1290.00
1978-10-01					813.00
1978-11-01					483.00
1978-12-01					323.00
1979-01-01					246.00
1979-02-01					231.00
1979-03-01					263.00
1979-04-01					554.00
1979-05-01					674.00
1979-06-01					736.00
1979-07-01					1470.00
1979-08-01					2070.00
1979-09-01					1980.00
1979-10-01					1740.00
1979-11-01					646.00
1979-12-01					416.00
1980-01-01					294.00
1980-02-01					267.00
1980-03-01					349.00
1980-04-01					639.00
