Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01	4.27	-12.89	5.25	-13.52	274
1961-02-01	6.56	-11.32	6.84	-11.92	283
1961-03-01	16.58	-5.72	16.45	-6.02	413
1961-04-01	22.51	0.84	25.08	0.29	767
1961-05-01	37.80	3.79	44.13	3.70	1040
1961-06-01	93.50	8.95	100.31	8.74	1150
1961-07-01	84.01	10.80	94.57	10.64	2520
1961-08-01	142.43	9.90	145.57	9.51	2010
1961-09-01	74.50	5.15	81.49	4.26	2080
1961-10-01	72.25	1.35	67.00	0.79	2400
1961-11-01	11.51	-7.48	11.40	-7.90	1360
1961-12-01	3.13	-13.98	5.05	-14.46	592
1962-01-01	3.92	-14.68	4.40	-15.42	389
1962-02-01	2.94	-10.45	4.49	-10.64	401
1962-03-01	3.81	-7.05	5.81	-7.62	400
1962-04-01	9.94	0.20	14.57	0.04	604
1962-05-01	46.23	3.93	47.08	3.68	779
1962-06-01	53.71	7.57	58.59	7.04	1370
1962-07-01	111.00	10.01	114.49	9.63	2050
1962-08-01	64.30	9.11	71.60	8.60	1700
1962-09-01	62.66	6.20	57.42	5.42	1150
1962-10-01	35.92	0.47	39.47	-0.19	1350
1962-11-01	6.56	-7.37	10.19	-7.89	747
1962-12-01	1.83	-12.04	5.01	-12.57	378
1963-01-01	0.40	-15.17	2.74	-15.93	228
1963-02-01	1.14	-11.08	3.77	-11.61	265
1963-03-01	9.04	-4.87	9.28	-5.35	339
1963-04-01	22.95	0.68	23.81	0.72	479
1963-05-01	72.66	5.34	69.41	5.44	890
1963-06-01	71.06	7.01	72.97	6.77	1170
1963-07-01	109.59	9.80	107.78	9.37	2300
1963-08-01	74.13	9.80	80.75	9.28	1810
1963-09-01	90.12	6.86	94.96	6.38	2970
1963-10-01	21.09	-0.29	22.68	-1.11	2450
1963-11-01	7.70	-7.39	9.01	-7.90	927
1963-12-01	1.14	-12.54	3.40	-13.17	458
1964-01-01	7.29	-13.82	6.44	-14.73	337
1964-02-01	6.75	-10.96	7.80	-11.14	325
1964-03-01	8.41	-4.48	10.23	-4.71	416
1964-04-01	30.02	2.35	29.91	2.16	760
1964-05-01	84.88	4.40	74.95	4.50	1340
1964-06-01	78.29	6.73	79.61	6.44	1460
1964-07-01	131.43	9.58	129.06	9.26	3270
1964-08-01	101.78	9.04	102.12	8.64	2680
1964-09-01	93.19	6.14	90.17	5.63	2530
1964-10-01	24.11	1.80	26.38	1.37	2200
1964-11-01	1.57	-6.84	4.25	-7.25	1040
1964-12-01	1.34	-11.95	3.33	-12.61	536
1965-01-01	0.47	-12.28	1.69	-12.92	389
1965-02-01	4.07	-9.91	5.73	-10.33	407
1965-03-01	7.28	-6.43	8.82	-6.65	408
1965-04-01	26.80	0.62	29.11	0.49	673
1965-05-01	48.57	4.66	49.01	4.38	969
1965-06-01	72.02	7.38	74.62	7.05	1240
1965-07-01	89.08	9.43	95.10	9.06	2100
1965-08-01	63.56	8.29	68.73	7.58	1220
1965-09-01	49.41	5.49	57.57	4.69	1450
1965-10-01	39.72	0.14	35.09	-0.78	1200
1965-11-01	6.01	-7.32	6.00	-8.07	640
1965-12-01	3.01	-12.96	3.05	-13.47	317
1966-01-01	1.19	-11.91	2.04	-12.41	277
1966-02-01	3.72	-8.73	5.25	-9.73	295
1966-03-01	7.26	-3.45	8.39	-3.84	357
1966-04-01	16.96	0.62	18.32	0.59	457
1966-05-01	48.93	4.44	51.27	4.30	563
1966-06-01	44.60	7.74	51.92	7.38	664
1966-07-01	116.74	10.51	117.26	10.12	1600
1966-08-01	99.62	10.56	97.34	9.94	2540
1966-09-01	91.40	4.89	90.36	3.99	3040
1966-10-01	29.57	-1.14	29.27	-1.66	2100
1966-11-01	4.91	-7.95	5.48	-8.64	927
1966-12-01	1.24	-11.03	1.87	-11.83	497
1967-01-01	2.94	-13.56	3.27	-14.14	340
1967-02-01	4.90	-11.09	6.14	-11.57	322
1967-03-01	15.63	-5.40	13.86	-5.80	409
1967-04-01	24.87	-0.61	25.31	-0.92	609
1967-05-01	107.49	5.01	95.30	4.93	2120
1967-06-01	88.31	6.61	89.05	6.35	1840
1967-07-01	110.34	9.83	108.93	9.60	3020
1967-08-01	155.41	9.72	149.32	9.46	2780
1967-09-01	94.53	5.27	97.90	4.55	4120
1967-10-01	30.76	-0.15	30.67	-0.83	2250
1967-11-01	8.54	-8.87	9.81	-9.00	825
1967-12-01	0.73	-13.53	1.32	-14.08	620
1968-01-01	3.66	-13.39	3.19	-13.71	882
1968-02-01	4.22	-12.82	4.19	-13.21	421
1968-03-01	15.38	-4.51	12.52	-5.09	529
1968-04-01	20.29	-0.26	20.48	-0.46	747
1968-05-01	49.98	4.23	51.86	3.79	1600
1968-06-01	72.11	7.42	76.82	7.00	1370
1968-07-01	84.25	9.19	87.94	8.66	1950
1968-08-01	99.45	8.23	104.68	7.75	1640
1968-09-01	93.00	6.16	98.61	5.56	2960
1968-10-01	31.90	-0.29	33.79	-0.89	1240
1968-11-01	5.02	-6.22	7.70	-6.96	701
1968-12-01	1.79	-9.31	1.91	-10.18	480
1969-01-01	4.71	-11.83	3.89	-12.48	401
1969-02-01	0.95	-9.70	2.67	-10.11	358
1969-03-01	7.23	-3.27	7.59	-3.81	409
1969-04-01	22.15	1.26	23.52	0.90	413
1969-05-01	59.79	6.09	59.66	5.76	899
1969-06-01	77.40	7.31	81.08	6.89	962
1969-07-01	76.57	10.16	80.84	9.77	1110
1969-08-01	83.68	9.08	86.49	8.56	1110
1969-09-01	82.38	5.83	84.23	5.15	640
1969-10-01	20.19	0.79	21.40	-0.05	554
1969-11-01	3.89	-7.55	5.01	-8.16	655
1969-12-01	0.97	-11.82	1.43	-12.63	639
1970-01-01	4.18	-13.79	3.66	-14.68	436
1970-02-01	5.31	-10.73	5.53	-11.08	459
1970-03-01	14.40	-6.61	13.60	-6.79	527
1970-04-01	30.16	-1.20	30.92	-1.64	593
1970-05-01	55.05	4.65	55.98	4.48	1160
1970-06-01	69.80	6.55	73.79	6.31	977
1970-07-01	95.09	10.57	97.04	10.05	859
1970-08-01	110.69	9.43	114.26	9.11	1650
1970-09-01	62.26	5.77	67.41	5.07	981
1970-10-01	17.69	-0.24	20.09	-1.18	795
1970-11-01	2.82	-7.23	3.67	-7.82	675
1970-12-01	0.79	-10.80	1.26	-11.46	444
1971-01-01	6.57	-13.85	5.16	-14.61	322
1971-02-01	3.35	-10.70	4.42	-11.15	376
1971-03-01	7.38	-4.07	7.45	-4.17	383
1971-04-01	26.56	1.14	27.27	0.90	789
1971-05-01	47.78	4.12	48.00	3.81	1210
1971-06-01	68.01	7.03	72.72	6.98	964
1971-07-01	90.14	11.12	87.11	10.85	1010
1971-08-01	96.81	9.69	93.73	9.19	871
1971-09-01	117.45	5.78	113.06	5.13	1120
1971-10-01	42.19	0.16	43.22	-0.67	2580
1971-11-01	7.63	-7.48	8.64	-8.43	762
1971-12-01	0.44	-11.56	1.10	-12.58	513
1972-01-01	0.90	-10.56	1.42	-11.10	526
1972-02-01	10.21	-10.88	9.00	-11.41	524
1972-03-01	8.34	-2.87	8.43	-3.53	492
1972-04-01	30.13	0.05	29.52	-0.39	800
1972-05-01	59.82	5.72	63.73	5.12	1120
1972-06-01	72.53	7.87	76.14	7.48	1500
1972-07-01	115.16	10.96	111.72	10.53	2230
1972-08-01	78.86	11.06	86.48	10.65	1640
1972-09-01	39.96	5.35	47.47	4.57	918
1972-10-01	12.22	-0.37	15.00	-1.16	509
1972-11-01	5.80	-7.74	5.90	-8.78	597
1972-12-01	2.44	-11.33	2.04	-11.89	485
1973-01-01	3.52	-11.97	3.15	-12.17	476
1973-02-01	2.70	-8.46	3.95	-8.89	479
1973-03-01	8.63	-3.65	9.77	-3.96	540
1973-04-01	27.79	1.09	27.54	0.82	591
1973-05-01	65.64	4.37	68.76	4.04	946
1973-06-01	85.79	6.66	85.69	6.15	1170
1973-07-01	93.83	9.69	92.31	9.04	1330
1973-08-01	108.18	9.73	110.58	9.25	1060
1973-09-01	51.38	6.20	57.07	5.43	1210
1973-10-01	47.46	0.36	46.74	-0.31	1400
1973-11-01	3.46	-7.15	4.73	-7.73	789
1973-12-01	1.47	-12.52	1.81	-13.00	588
1974-01-01	3.29	-12.67	2.92	-13.18	554
1974-02-01	4.34	-9.64	5.03	-10.55	570
1974-03-01	13.90	-5.75	13.30	-6.17	546
1974-04-01	17.13	1.13	19.92	0.77	718
1974-05-01	58.37	4.86	60.18	4.42	939
1974-06-01	76.10	8.13	78.67	7.87	1090
1974-07-01	92.31	9.78	93.16	9.23	1160
1974-08-01	82.14	9.18	82.75	8.58	1030
1974-09-01	80.33	5.20	85.70	4.75	1180
1974-10-01	38.80	1.00	40.39	0.20	1270
1974-11-01	5.27	-6.35	6.39	-6.31	887
1974-12-01	5.26	-12.36	4.05	-12.41	648
1975-01-01	5.79	-14.09	4.47	-14.07	635
1975-02-01	3.98	-9.83	5.66	-10.35	572
1975-03-01	5.43	-4.44	6.31	-4.61	557
1975-04-01	19.93	0.06	22.77	-0.18	627
1975-05-01	58.53	3.43	61.72	3.28	1000
1975-06-01	86.25	7.93	90.18	7.79	1170
1975-07-01	125.97	9.53	130.04	9.30	2450
1975-08-01	83.11	10.16	85.47	9.55	2370
1975-09-01	106.36	6.75	105.73	6.30	2080
1975-10-01	41.84	1.58	43.33	0.84	2530
1975-11-01	9.50	-6.77	8.56	-7.33	1280
1975-12-01	2.06	-13.46	2.07	-14.33	686
1976-01-01	1.56	-13.12	1.82	-13.65	654
1976-02-01	10.71	-8.72	9.91	-9.39	673
1976-03-01	10.16	-5.44	10.70	-5.92	547
1976-04-01	15.50	-0.23	19.84	-0.35	772
1976-05-01	59.24	4.09	64.44	3.82	1160
1976-06-01	97.51	7.18	100.71	6.89	1570
1976-07-01	107.95	7.92	106.33	7.61	2040
1976-08-01	136.10	7.99	145.59	7.65	3030
1976-09-01	65.55	5.32	69.59	4.61	2910
1976-10-01	17.32	0.27	18.94	-0.67	1280
1976-11-01	2.86	-7.15	3.51	-8.13	921
1976-12-01	0.61	-11.37	0.99	-12.08	738
1977-01-01	5.30	-12.74	4.85	-13.46	698
1977-02-01	4.71	-11.64	5.48	-12.17	638
