Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01	4.39	-10.42	4.70	-8.29	560.00
1961-02-01	9.46	-9.39	6.18	-7.30	488.00
1961-03-01	11.22	-5.90	11.09	-4.47	473.00
1961-04-01	7.97	-1.28	15.11	-0.58	593.00
1961-05-01	19.77	2.69	33.82	2.85	1040.00
1961-06-01	29.68	7.53	57.51	7.50	2100.00
1961-07-01	55.89	8.22	130.41	7.34	3740.00
1961-08-01	78.78	8.09	128.15	7.28	6430.00
1961-09-01	35.02	5.54	76.70	5.22	4270.00
1961-10-01	13.02	0.43	13.56	1.05	2080.00
1961-11-01	5.21	-8.22	4.54	-7.03	1020.00
1961-12-01	5.51	-12.60	4.39	-10.94	664.00
1962-01-01	7.56	-12.08	4.26	-9.75	523.00
1962-02-01	13.37	-10.76	6.71	-8.64	489.00
1962-03-01	12.19	-7.20	9.82	-5.80	463.00
1962-04-01	15.87	-1.65	18.15	-1.08	618.00
1962-05-01	29.97	1.68	46.27	1.51	962.00
1962-06-01	67.12	6.92	120.27	6.23	3880.00
1962-07-01	58.63	8.38	123.32	7.34	5240.00
1962-08-01	109.65	6.89	195.00	5.83	10500.00
1962-09-01	45.73	5.31	90.36	4.77	7660.00
1962-10-01	3.63	-0.72	10.51	-0.49	2050.00
1962-11-01	0.56	-5.88	2.28	-4.49	1060.00
1962-12-01	3.93	-10.29	4.61	-8.68	762.00
1963-01-01	3.11	-12.99	3.62	-10.75	570.00
1963-02-01	3.26	-9.75	5.51	-8.07	463.00
1963-03-01	19.02	-7.09	11.83	-6.17	444.00
1963-04-01	17.48	-2.55	19.62	-2.14	530.00
1963-05-01	26.14	1.89	39.05	2.12	1060.00
1963-06-01	49.87	6.25	94.18	6.10	3360.00
1963-07-01	61.69	8.40	128.22	7.49	5290.00
1963-08-01	87.50	7.43	160.48	6.41	8030.00
1963-09-01	31.34	5.48	67.39	4.91	5170.00
1963-10-01	17.71	-0.55	23.40	-0.26	2230.00
1963-11-01	15.17	-7.25	5.47	-6.87	1310.00
1963-12-01	2.27	-10.90	3.16	-9.90	886.00
1964-01-01	0.67	-11.32	3.44	-8.28	651.00
1964-02-01	2.33	-9.33	5.90	-7.56	540.00
1964-03-01	7.35	-5.63	10.81	-4.65	490.00
1964-04-01	15.28	-1.00	16.55	-0.42	569.00
1964-05-01	16.01	1.56	29.18	1.54	846.00
1964-06-01	30.78	7.49	66.36	6.82	2660.00
1964-07-01	64.07	7.95	139.38	6.96	4320.00
1964-08-01	80.74	7.37	155.82	6.33	6770.00
1964-09-01	38.56	5.61	78.95	5.18	5960.00
1964-10-01	5.18	1.22	11.60	1.75	2140.00
1964-11-01	1.11	-5.87	2.41	-4.69	1120.00
1964-12-01	1.93	-9.86	3.08	-8.06	762.00
1965-01-01	1.30	-11.56	3.63	-9.17	586.00
1965-02-01	6.89	-10.72	6.92	-9.27	512.00
