Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01					
1961-02-01					
1961-03-01					
1961-04-01					
1961-05-01					
1961-06-01					
1961-07-01					
1961-08-01					
1961-09-01					
1961-10-01					
1961-11-01					
1961-12-01					
1962-01-01					
1962-02-01					
1962-03-01					
1962-04-01					
1962-05-01					
1962-06-01					
1962-07-01					
1962-08-01					
1962-09-01					
1962-10-01					
1962-11-01					
1962-12-01					
1963-01-01					
1963-02-01					
1963-03-01					
1963-04-01					
1963-05-01					
1963-06-01					
1963-07-01					
1963-08-01					
1963-09-01					
1963-10-01					
1963-11-01					
1963-12-01					
1964-01-01					
1964-02-01					
1964-03-01					
1964-04-01					
1964-05-01					
1964-06-01					
1964-07-01					
1964-08-01					
1964-09-01					
1964-10-01					
1964-11-01					
1964-12-01					
1965-01-01					
1965-02-01					
1965-03-01					
1965-04-01					
1965-05-01					
1965-06-01					
1965-07-01					
1965-08-01					
1965-09-01					
1965-10-01					
1965-11-01					
1965-12-01					
1966-01-01					710.77
1966-02-01					601.32
1966-03-01					570.23
1966-04-01					650.70
1966-05-01					822.74
1966-06-01					1748.03
1966-07-01					3337.42
1966-08-01					6278.06
1966-09-01					6368.33
1966-10-01					2977.10
1966-11-01					1432.67
1966-12-01					955.23
1967-01-01					756.16
1967-02-01					653.07
1967-03-01					625.03
1967-04-01					660.67
1967-05-01					1052.97
1967-06-01					1510.33
1967-07-01					2451.94
1967-08-01					3450.00
1967-09-01					3026.67
1967-10-01					2033.87
1967-11-01					1084.93
1967-12-01					719.90
1968-01-01					565.52
1968-02-01					487.72
1968-03-01					483.97
1968-04-01					601.10
1968-05-01					1241.58
1968-06-01					2197.00
1968-07-01					3395.48
1968-08-01					4010.32
1968-09-01					4035.00
1968-10-01					2300.00
1968-11-01					1135.97
1968-12-01					777.52
1969-01-01					552.81
1969-02-01					488.11
1969-03-01					459.42
1969-04-01					523.50
1969-05-01					550.55
1969-06-01					1101.77
1969-07-01					2783.55
1969-08-01					3106.13
1969-09-01					3941.00
1969-10-01					1935.81
1969-11-01					1012.03
1969-12-01					656.32
1970-01-01					524.58
1970-02-01					465.54
1970-03-01					468.68
1970-04-01					649.57
1970-05-01					1257.06
1970-06-01					1757.67
1970-07-01					4568.06
1970-08-01					5440.65
1970-09-01					2593.33
1970-10-01					2241.29
1970-11-01					1296.83
1970-12-01					826.90
1971-01-01					657.10
1971-02-01					559.64
1971-03-01					535.06
1971-04-01					631.30
1971-05-01					874.39
1971-06-01					1882.00
1971-07-01					2775.16
1971-08-01					3970.97
1971-09-01					3090.33
1971-10-01					2121.94
1971-11-01					1177.50
1971-12-01					731.81
1972-01-01					577.58
1972-02-01					505.31
1972-03-01					500.87
1972-04-01					601.33
1972-05-01					958.26
1972-06-01					1495.67
1972-07-01					3436.77
1972-08-01					4459.35
1972-09-01					3021.00
1972-10-01					1766.45
1972-11-01					1027.33
1972-12-01					714.23
1973-01-01					567.65
1973-02-01					507.68
1973-03-01					503.00
1973-04-01					654.93
1973-05-01					977.74
1973-06-01					1568.37
1973-07-01					1946.45
1973-08-01					3638.39
1973-09-01					3354.67
1973-10-01					1698.06
1973-11-01					1226.00
1973-12-01					731.55
1974-01-01					527.65
1974-02-01					468.04
1974-03-01					469.03
1974-04-01					611.27
1974-05-01					1006.10
1974-06-01					2413.33
1974-07-01					4681.29
1974-08-01					5516.45
1974-09-01					5559.00
1974-10-01					2496.13
1974-11-01					1363.33
1974-12-01					877.71
1975-01-01					663.03
1975-02-01					588.86
1975-03-01					557.94
1975-04-01					719.40
1975-05-01					1006.45
1975-06-01					1661.67
1975-07-01					3554.84
1975-08-01					3666.45
1975-09-01					3380.33
1975-10-01					2096.77
1975-11-01					1200.30
1975-12-01					725.23
1976-01-01					570.55
1976-02-01					511.21
1976-03-01					509.29
1976-04-01					597.03
1976-05-01					976.77
1976-06-01					2069.67
1976-07-01					3145.81
1976-08-01					2550.00
1976-09-01					2918.67
1976-10-01					1694.19
1976-11-01					948.50
1976-12-01					654.84
1977-01-01					513.29
1977-02-01					475.79
1977-03-01					482.45
1977-04-01					627.60
1977-05-01					828.84
1977-06-01					1742.57
1977-07-01					2610.32
1977-08-01					3771.94
1977-09-01					3393.33
1977-10-01					2257.10
1977-11-01					1092.53
1977-12-01					702.90
1978-01-01					542.81
1978-02-01					477.29
1978-03-01					457.32
1978-04-01					603.10
1978-05-01					1238.87
1978-06-01					2805.67
1978-07-01					3684.52
1978-08-01					4446.13
1978-09-01					3571.33
1978-10-01					2240.32
1978-11-01					1151.47
1978-12-01					765.19
1979-01-01					604.35
1979-02-01					521.68
1979-03-01					489.48
1979-04-01					651.43
1979-05-01					806.32
1979-06-01					976.17
1979-07-01					1951.61
1979-08-01					3528.71
1979-09-01					3708.00
1979-10-01					3104.19
1979-11-01					1295.00
1979-12-01					856.61
1980-01-01					619.68
1980-02-01					528.45
1980-03-01					508.48
1980-04-01					685.50
1980-05-01					1058.55
1980-06-01					1642.80
1980-07-01					2802.26
1980-08-01					4814.52
1980-09-01					3928.00
1980-10-01					3245.81
1980-11-01					1415.67
1980-12-01					864.65
1981-01-01					647.71
1981-02-01					572.43
1981-03-01					565.77
1981-04-01					666.33
1981-05-01					1201.45
1981-06-01					2351.67
1981-07-01					4430.65
1981-08-01					3457.10
1981-09-01					3777.00
1981-10-01					1726.45
1981-11-01					970.23
1981-12-01					662.61
1982-01-01					535.87
1982-02-01					487.25
1982-03-01					468.26
1982-04-01					548.63
1982-05-01					779.29
1982-06-01					1849.77
1982-07-01					4935.48
1982-08-01					2586.45
1982-09-01					3373.67
1982-10-01					2160.00
1982-11-01					1099.03
1982-12-01					710.71
1983-01-01					534.39
1983-02-01					474.11
1983-03-01					483.23
1983-04-01					621.60
1983-05-01					1317.58
1983-06-01					1755.00
1983-07-01					2927.74
1983-08-01					3183.23
1983-09-01					2611.00
1983-10-01					1818.39
1983-11-01					1000.50
1983-12-01					631.58
1984-01-01					512.77
1984-02-01					442.14
1984-03-01					425.77
1984-04-01					622.10
1984-05-01					803.94
1984-06-01					1512.17
1984-07-01					4264.19
1984-08-01					3252.26
1984-09-01					2775.67
1984-10-01					1597.42
1984-11-01					1032.97
1984-12-01					697.74
1985-01-01					536.32
1985-02-01					467.18
1985-03-01					478.52
1985-04-01					666.93
1985-05-01					975.45
1985-06-01					2385.67
1985-07-01					4749.35
1985-08-01					3817.10
1985-09-01					4509.00
1985-10-01					2718.71
1985-11-01					1268.00
1985-12-01					858.81
1986-01-01					658.13
1986-02-01					553.21
1986-03-01					521.84
1986-04-01					645.43
1986-05-01					1160.42
1986-06-01					1442.33
1986-07-01					2943.55
1986-08-01					2440.65
1986-09-01					3544.67
1986-10-01					2980.65
1986-11-01					1277.10
1986-12-01					808.61
1987-01-01					600.68
1987-02-01					536.43
1987-03-01					496.03
1987-04-01					580.63
1987-05-01					764.77
1987-06-01					1220.93
1987-07-01					3869.03
1987-08-01					4906.77
1987-09-01					5196.67
1987-10-01					3223.55
1987-11-01					1448.33
1987-12-01					926.65
1988-01-01					699.35
1988-02-01					597.83
1988-03-01					609.90
1988-04-01					730.03
1988-05-01					1084.97
1988-06-01					1493.67
1988-07-01					2201.94
1988-08-01					3429.35
1988-09-01					3716.33
1988-10-01					2421.29
1988-11-01					1225.93
1988-12-01					805.16
1989-01-01					600.03
1989-02-01					543.93
1989-03-01					524.84
1989-04-01					568.07
1989-05-01					977.32
1989-06-01					2672.00
1989-07-01					4246.77
1989-08-01					3936.45
1989-09-01					4256.33
1989-10-01					3859.35
1989-11-01					1739.00
1989-12-01					1006.55
1990-01-01					742.87
1990-02-01					653.71
1990-03-01					608.23
1990-04-01					669.80
1990-05-01					1328.90
1990-06-01					2873.00
1990-07-01					3684.52
1990-08-01					3455.16
1990-09-01					4455.00
1990-10-01					3253.87
1990-11-01					1472.33
1990-12-01					965.61
1991-01-01					727.48
1991-02-01					630.32
1991-03-01					606.16
1991-04-01					667.63
1991-05-01					1086.16
1991-06-01					1823.33
1991-07-01					3727.10
1991-08-01					6308.06
1991-09-01					4661.00
1991-10-01					2339.35
1991-11-01					1326.00
1991-12-01					885.71
1992-01-01					728.32
1992-02-01					644.76
1992-03-01					666.55
1992-04-01					1016.67
1992-05-01					1192.90
1992-06-01					1326.67
1992-07-01					2765.16
1992-08-01					2822.90
1992-09-01					2352.67
1992-10-01					1817.74
1992-11-01					1095.27
1992-12-01					725.42
1993-01-01					602.61
1993-02-01					560.50
1993-03-01					540.84
1993-04-01					616.63
1993-05-01					1024.84
1993-06-01					1390.57
1993-07-01					3116.13
1993-08-01					6906.77
1993-09-01					5057.33
1993-10-01					2945.48
1993-11-01					1362.67
1993-12-01					885.81
1994-01-01					668.10
1994-02-01					589.18
1994-03-01					588.74
1994-04-01					768.47
1994-05-01					997.00
1994-06-01					1814.33
1994-07-01					1923.87
1994-08-01					2223.55
1994-09-01					2393.33
1994-10-01					1190.87
1994-11-01					783.23
1994-12-01					571.03
1995-01-01					474.39
1995-02-01					446.54
1995-03-01					446.65
1995-04-01					500.23
1995-05-01					1181.61
1995-06-01					1726.33
1995-07-01					3669.35
1995-08-01					3185.16
1995-09-01					3449.00
1995-10-01					2363.23
1995-11-01					1190.63
1995-12-01					750.48
1996-01-01					569.23
1996-02-01					524.76
1996-03-01					546.68
1996-04-01					740.50
1996-05-01					1008.97
1996-06-01					1409.00
1996-07-01					4165.81
1996-08-01					4268.39
1996-09-01					3168.67
1996-10-01					2166.77
1996-11-01					1187.13
1996-12-01					763.90
1997-01-01					574.71
1997-02-01					505.71
1997-03-01					499.13
1997-04-01					555.27
1997-05-01					998.26
1997-06-01					1659.67
1997-07-01					4031.29
1997-08-01					2816.77
1997-09-01					2861.33
1997-10-01					2035.48
1997-11-01					1041.03
1997-12-01					718.68
1998-01-01					560.35
1998-02-01					487.50
1998-03-01					498.74
1998-04-01					687.63
1998-05-01					1455.48
1998-06-01					1835.00
1998-07-01					5515.81
1998-08-01					6919.68
1998-09-01					5717.67
1998-10-01					2611.94
1998-11-01					1610.67
1998-12-01					974.97
1999-01-01					733.71
1999-02-01					636.36
1999-03-01					592.65
1999-04-01					632.83
1999-05-01					916.52
1999-06-01					2331.33
1999-07-01					4368.39
1999-08-01					4388.39
1999-09-01					5067.00
1999-10-01					2345.81
1999-11-01					1668.67
1999-12-01					970.81
2000-01-01					713.00
2000-02-01					624.00
2000-03-01					566.00
2000-04-01					801.00
2000-05-01					1510.00
2000-06-01					2700.00
2000-07-01					4810.00
2000-08-01					4950.00
2000-09-01					6280.00
2000-10-01					2690.00
2000-11-01					1470.00
2000-12-01					959.00
2001-01-01					728.00
2001-02-01					631.00
2001-03-01					570.00
2001-04-01					634.00
2001-05-01					1020.00
2001-06-01					2680.00
2001-07-01					3180.00
2001-08-01					4570.00
2001-09-01					5450.00
2001-10-01					2920.00
2001-11-01					1500.00
2001-12-01					939.00
2002-01-01					704.00
2002-02-01					616.00
2002-03-01					585.00
2002-04-01					723.00
2002-05-01					1080.00
2002-06-01					1970.00
2002-07-01					5400.00
2002-08-01					5920.00
2002-09-01					2930.00
2002-10-01					2490.00
2002-11-01					1270.00
2002-12-01					828.00
2003-01-01					642.00
2003-02-01					579.00
2003-03-01					538.00
2003-04-01					615.00
2003-05-01					793.00
2003-06-01					2330.00
2003-07-01					3680.00
2003-08-01					3890.00
2003-09-01					5880.00
2003-10-01					2400.00
