Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01					168.00
1961-02-01					159.00
1961-03-01					231.00
1961-04-01					470.00
1961-05-01					636.00
1961-06-01					785.00
1961-07-01					1650.00
1961-08-01					1090.00
1961-09-01					1060.00
1961-10-01					1300.00
1961-11-01					696.00
1961-12-01					269.00
1962-01-01					193.00
1962-02-01					185.00
1962-03-01					202.00
1962-04-01					401.00
1962-05-01					578.00
1962-06-01					1050.00
1962-07-01					1380.00
1962-08-01					1100.00
1962-09-01					642.00
1962-10-01					671.00
1962-11-01					416.00
1962-12-01					187.00
1963-01-01					130.00
1963-02-01					129.00
1963-03-01					180.00
1963-04-01					273.00
1963-05-01					449.00
1963-06-01					649.00
1963-07-01					1490.00
1963-08-01					1140.00
1963-09-01					2220.00
1963-10-01					1540.00
1963-11-01					540.00
1963-12-01					257.00
1964-01-01					193.00
1964-02-01					185.00
1964-03-01					242.00
1964-04-01					405.00
1964-05-01					567.00
1964-06-01					589.00
1964-07-01					1820.00
1964-08-01					1300.00
1964-09-01					1360.00
1964-10-01					1160.00
1964-11-01					541.00
1964-12-01					257.00
1965-01-01					186.00
1965-02-01					190.00
1965-03-01					210.00
1965-04-01					348.00
1965-05-01					578.00
1965-06-01					825.00
1965-07-01					1440.00
1965-08-01					712.00
1965-09-01					965.00
1965-10-01					779.00
1965-11-01					370.00
1965-12-01					169.00
1966-01-01					170.00
1966-02-01					159.00
1966-03-01					225.00
1966-04-01					302.00
1966-05-01					349.00
1966-06-01					425.00
1966-07-01					1050.00
1966-08-01					1690.00
1966-09-01					2010.00
1966-10-01					1350.00
1966-11-01					569.00
1966-12-01					273.00
1967-01-01					201.00
1967-02-01					186.00
1967-03-01					248.00
1967-04-01					361.00
1967-05-01					1100.00
1967-06-01					1130.00
1967-07-01					2030.00
1967-08-01					1580.00
1967-09-01					2400.00
1967-10-01					1510.00
1967-11-01					720.00
1967-12-01					308.00
1968-01-01					239.00
1968-02-01					211.00
1968-03-01					290.00
1968-04-01					491.00
1968-05-01					1150.00
1968-06-01					1110.00
1968-07-01					1330.00
1968-08-01					921.00
1968-09-01					2050.00
1968-10-01					1130.00
1968-11-01					513.00
1968-12-01					274.00
1969-01-01					204.00
1969-02-01					192.00
1969-03-01					241.00
1969-04-01					312.00
1969-05-01					472.00
1969-06-01					632.00
1969-07-01					1080.00
1969-08-01					734.00
1969-09-01					689.00
1969-10-01					775.00
1969-11-01					352.00
1969-12-01					160.00
1970-01-01					129.00
1970-02-01					129.00
1970-03-01					181.00
1970-04-01					363.00
1970-05-01					541.00
1970-06-01					655.00
1970-07-01					709.00
1970-08-01					1100.00
1970-09-01					535.00
1970-10-01					584.00
1970-11-01					331.00
1970-12-01					160.00
1971-01-01					127.00
1971-02-01					124.00
1971-03-01					189.00
1971-04-01					336.00
1971-05-01					445.00
1971-06-01					618.00
1971-07-01					656.00
1971-08-01					605.00
1971-09-01					1320.00
1971-10-01					1710.00
1971-11-01					642.00
1971-12-01					273.00
1972-01-01					212.00
1972-02-01					196.00
1972-03-01					275.00
1972-04-01					424.00
1972-05-01					709.00
1972-06-01					1020.00
1972-07-01					1920.00
1972-08-01					980.00
1972-09-01					759.00
1972-10-01					608.00
1972-11-01					338.00
1972-12-01					193.00
1973-01-01					161.00
1973-02-01					160.00
1973-03-01					211.00
1973-04-01					273.00
1973-05-01					542.00
1973-06-01					1020.00
1973-07-01					845.00
1973-08-01					878.00
1973-09-01					960.00
1973-10-01					1020.00
1973-11-01					489.00
1973-12-01					229.00
1974-01-01					146.00
1974-02-01					155.00
1974-03-01					208.00
1974-04-01					299.00
1974-05-01					489.00
1974-06-01					875.00
1974-07-01					857.00
1974-08-01					997.00
1974-09-01					1340.00
1974-10-01					936.00
1974-11-01					566.00
1974-12-01					254.00
1975-01-01					168.00
1975-02-01					164.00
1975-03-01					227.00
1975-04-01					312.00
1975-05-01					688.00
1975-06-01					1140.00
1975-07-01					2310.00
1975-08-01					1840.00
1975-09-01					1690.00
