Time	pre_cru	tem_cru	pre_cn05	tem_cn05	runoff
1961-01-01					65.68
1961-02-01					68.88
1961-03-01					66.38
1961-04-01					142.38
1961-05-01					202.38
1961-06-01					438.38
1961-07-01					967.38
1961-08-01					1350.38
1961-09-01					698.38
1961-10-01					560.38
1961-11-01					202.38
1961-12-01					79.48
1962-01-01					68.48
1962-02-01					66.98
1962-03-01					68.48
1962-04-01					197.38
1962-05-01					313.38
1962-06-01					776.38
1962-07-01					1420.38
1962-08-01					1400.38
1962-09-01					719.38
1962-10-01					337.38
1962-11-01					150.38
1962-12-01					82.58
1963-01-01					61.98
1963-02-01					56.88
1963-03-01					68.08
1963-04-01					137.38
1963-05-01					236.38
1963-06-01					597.38
1963-07-01					1980.38
1963-08-01					871.38
1963-09-01					1430.38
1963-10-01					549.38
1963-11-01					195.38
1963-12-01					97.58
1964-01-01					80.88
1964-02-01					73.28
1964-03-01					79.68
1964-04-01					212.38
1964-05-01					247.38
1964-06-01					687.38
1964-07-01					1730.38
1964-08-01					1040.38
1964-09-01					957.38
1964-10-01					552.38
1964-11-01					188.38
1964-12-01					89.98
1965-01-01					72.48
1965-02-01					70.98
1965-03-01					73.18
1965-04-01					150.38
1965-05-01					263.38
1965-06-01					794.38
1965-07-01					2130.38
1965-08-01					677.38
1965-09-01					1030.38
1965-10-01					452.38
1965-11-01					187.38
1965-12-01					88.18
1966-01-01					78.68
1966-02-01					77.88
1966-03-01					86.38
1966-04-01					156.38
1966-05-01					210.38
1966-06-01					188.38
1966-07-01					591.38
1966-08-01					1190.38
1966-09-01					1290.38
1966-10-01					536.38
1966-11-01					185.38
1966-12-01					86.28
1967-01-01					67.48
1967-02-01					64.98
1967-03-01					72.48
1967-04-01					125.38
1967-05-01					384.38
1967-06-01					443.38
1967-07-01					866.38
1967-08-01					1020.38
1967-09-01					1170.38
1967-10-01					432.38
1967-11-01					167.38
1967-12-01					84.38
1968-01-01					73.58
1968-02-01					63.98
1968-03-01					75.08
1968-04-01					169.38
1968-05-01					402.38
1968-06-01					544.38
1968-07-01					731.38
1968-08-01					608.38
1968-09-01					456.38
1968-10-01					286.38
1968-11-01					129.38
1968-12-01					68.18
1969-01-01					57.08
1969-02-01					59.28
1969-03-01					70.38
1969-04-01					143.38
1969-05-01					164.38
1969-06-01					288.38
1969-07-01					628.38
1969-08-01					553.38
1969-09-01					623.38
1969-10-01					402.38
1969-11-01					147.38
1969-12-01					68.48
1970-01-01					50.88
1970-02-01					52.88
1970-03-01					56.18
1970-04-01					108.38
1970-05-01					204.38
1970-06-01					627.38
1970-07-01					1090.38
1970-08-01					1210.38
1970-09-01					488.38
1970-10-01					298.38
1970-11-01					140.38
1970-12-01					70.78
1971-01-01					61.08
1971-02-01					56.98
1971-03-01					65.38
1971-04-01					154.38
1971-05-01					248.38
1971-06-01					603.38
1971-07-01					785.38
1971-08-01					1150.38
1971-09-01					1220.38
1971-10-01					387.38
1971-11-01					180.38
1971-12-01					77.98
1972-01-01					70.98
1972-02-01					65.28
1972-03-01					79.08
1972-04-01					147.38
1972-05-01					309.38
1972-06-01					412.38
1972-07-01					1080.38
1972-08-01					1030.38
1972-09-01					824.38
1972-10-01					372.38
1972-11-01					136.38
1972-12-01					84.58
1973-01-01					71.68
1973-02-01					70.88
1973-03-01					79.78
1973-04-01					158.38
1973-05-01					258.38
1973-06-01					356.38
1973-07-01					381.38
1973-08-01					528.38
1973-09-01					491.38
1973-10-01					349.38
1973-11-01					139.38
1973-12-01					66.28
1974-01-01					52.18
1974-02-01					51.68
1974-03-01					61.58
1974-04-01					150.38
1974-05-01					317.38
1974-06-01					825.38
1974-07-01					784.38
1974-08-01					1290.38
1974-09-01					1280.38
1974-10-01					513.38
1974-11-01					210.38
1974-12-01					93.88
1975-01-01					74.38
1975-02-01					72.58
1975-03-01					81.48
1975-04-01					163.38
1975-05-01					221.38
1975-06-01					638.38
1975-07-01					1490.38
1975-08-01					956.38
1975-09-01					1170.38
1975-10-01					589.38
1975-11-01					223.38
1975-12-01					92.58
1976-01-01					89.98
1976-02-01					84.18
1976-03-01					83.28
1976-04-01					137.38
