ID	Latitude	Longitude
51804	37.767	75.233
51886	38.250	90.850
52602	38.750	93.333
52633	38.800	98.417
52645	38.417	99.583
52657	38.183	100.250
52707	36.800	93.683
52713	37.850	95.367
52737	37.367	97.367
52745	37.300	99.033
52754	37.333	100.133
52765	37.383	101.617
52787	37.200	102.867
52818	36.417	94.900
52825	36.433	96.417
52836	36.300	98.100
52842	36.783	99.083
52853	36.917	100.983
52855	36.683	101.250
52856	36.267	100.617
52862	36.950	101.683
52863	36.817	101.950
52866	36.717	101.750
52868	36.033	101.433
52869	36.517	101.567
52874	36.483	102.383
52876	36.317	102.850
52877	36.100	102.267
52885	36.750	103.250
52908	35.217	93.083
52943	35.583	99.983
52955	35.583	100.750
52957	35.250	100.583
52963	35.933	102.033
52968	35.033	101.467
52972	35.833	102.550
52974	35.517	102.017
52978	35.200	102.517
52980	35.967	103.300
52981	35.667	103.383
52982	35.483	103.550
52984	35.583	103.183
52985	35.417	103.333
52986	35.367	103.867
52988	35.367	103.717
55228	32.500	80.083
55248	32.150	84.417
55279	31.383	90.017
55294	32.350	91.100
55299	31.483	92.067
55437	30.283	81.250
55472	30.950	88.633
55493	30.483	91.100
55569	29.083	87.600
55572	29.683	89.100
55578	29.250	88.883
55585	29.433	90.167
55589	29.300	90.983
55591	29.667	91.133
55593	29.850	91.733
55598	29.250	91.767
55655	28.183	85.967
55664	28.633	87.083
55680	28.917	89.600
55681	28.967	90.400
55690	27.983	91.950
55696	28.417	92.467
55773	27.733	89.083
56004	34.217	92.433
56016	33.850	95.600
56018	32.900	95.300
56021	34.133	95.783
56029	33.017	97.017
56033	34.917	98.217
56034	33.800	97.133
56038	32.983	98.100
56043	34.467	100.250
56045	33.967	99.900
56046	33.750	99.650
56065	34.733	101.600
56067	33.433	101.483
56071	34.583	102.500
56074	34.000	102.083
56079	33.583	102.967
56080	35.000	102.900
56081	34.700	103.350
56082	34.583	103.500
56084	34.067	103.233
56093	34.433	104.017
56094	33.783	104.367
56097	33.267	104.233
56106	31.883	93.783
56109	31.483	93.783
56116	31.417	95.600
56125	32.200	96.483
56128	31.217	96.600
56137	31.150	97.167
56144	31.800	98.583
56146	31.617	100.000
56147	31.217	98.833
56151	32.933	100.750
56152	32.283	100.333
56158	31.400	100.667
56164	32.267	100.983
56167	30.983	101.117
56168	31.483	102.067
56171	32.900	101.700
56172	31.900	102.233
56173	32.800	102.550
56178	31.000	102.350
56180	31.683	103.850
56182	32.650	103.567
56183	31.467	103.583
56184	31.433	103.167
56185	32.083	102.983
56192	32.950	104.667
56202	30.667	93.283
56223	30.750	95.833
56227	29.867	95.767
56228	30.050	96.917
56247	30.000	99.100
56251	30.933	100.317
56257	30.000	100.267
56263	30.883	101.883
56267	30.033	101.017
56307	29.150	92.583
56312	29.667	94.333
56317	29.217	94.217
56331	29.667	97.833
56342	29.683	98.600
56357	29.050	100.300
56371	29.917	102.233
56374	30.050	101.967
56378	29.233	102.350
56434	28.650	97.467
56441	28.717	99.283
56443	28.933	99.800
56444	28.483	98.917
56459	27.933	101.267
56462	29.000	101.500
56474	28.550	102.167
56475	28.650	102.517
56478	28.300	102.433
56533	27.750	98.667
56543	27.833	99.700
56548	27.167	99.283
56565	27.433	101.517
56567	27.300	100.850
56641	26.900	98.867
56645	26.417	99.417
56651	26.850	100.217
56652	26.683	100.750
56654	26.583	100.183
56664	26.633	101.267
56674	26.500	101.733
56752	25.833	100.567
56756	25.483	100.583
