ID	pre_st	pre_ed	pre_t_v	pre_t_p	tem_st	tem_ed	tem_t_v
51804	19570101	20150228	5.19	6.85	19570101	20150228	0.27
51886	19580901	20150228	2.26	4.72	19580901	20150228	0.81
52602	19560901	20200103	0.62	3.63	19560901	20200103	0.23
52633	19561101	20150228	13.33	4.50	19561101	20150228	0.34
52645	19590201	20150228	16.95	4.06	19590201	20150228	0.25
52657	19560501	20150228	8.93	2.18	19560501	20150228	0.28
52707	19600601	20200103	2.25	7.77	19600602	20200103	0.63
52713	19560501	20150228	3.16	3.62	19560501	20150228	0.50
52737	19550801	20150228	22.39	12.84	19550801	20150228	0.46
52745	19571201	20150228	13.50	3.85	19571201	20150228	0.38
52754	19570701	20150228	8.06	2.10	19570701	20150228	0.28
52765	19561001	20150228	-1.74	-0.33	19561005	20150228	0.37
52787	19510101	20200103	3.94	0.94	19510102	20200103	0.23
52818	19550401	20200103	2.70	6.22	19550411	20200103	0.52
52825	19560601	20200103	4.26	9.05	19560610	20200103	0.38
52836	19540101	20200103	14.94	7.24	19540116	20200103	0.23
52842	19550601	20150228	5.01	2.33	19550601	20150228	0.32
52853	19550101	20150228	6.78	1.66	19550101	20150228	0.51
52855	19561101	20150228	2.46	0.59	19561101	20150228	0.27
52856	19530101	20200103	9.16	2.83	19530102	20200103	0.45
52862	19561101	20150228	6.72	1.28	19561101	20150228	0.60
52863	19551001	20150228	-18.46	-3.50	19551001	20150228	0.70
52866	19540101	20200103	14.36	3.66	19540101	20200103	0.11
52868	19561101	20200103	2.69	1.05	19561101	20200103	0.28
52869	19581101	20150228	3.89	0.72	19581101	20150228	0.52
52874	19561001	20150228	-1.79	-0.54	19561001	20150228	0.36
52876	19561001	20200103	-1.84	-0.52	19561001	20200103	0.26
52877	19571201	20150228	-3.02	-0.65	19571201	20150228	0.27
52885	19561101	20150228	8.97	2.90	19561101	20150228	0.07
52908	19561001	20200103	20.75	6.95	19561001	20200103	0.31
52943	19600101	20200103	17.24	4.63	19600101	20200103	0.28
52955	19570101	20200103	22.75	5.29	19570101	20200103	0.21
52957	19540201	20150228	6.87	1.62	19540210	20150228	0.45
52963	19581001	20150228	-0.00	-0.00	19581001	20150228	0.28
52968	19571001	20150228	9.78	2.03	19571001	20150228	0.41
52972	19581201	20150228	2.79	1.04	19581201	20150228	0.22
52974	19571201	20200103	1.18	0.28	19571201	20200103	0.41
52978	19520701	20150228	2.57	0.58	19520702	20150228	0.44
52980	19670601	20150228	-6.63	-2.35	19670601	20150228	0.35
52981	19590401	20150228	-8.84	-1.63	19590403	20150228	0.24
52982	19670701	20150228	-5.51	-1.16	19670701	20150228	0.33
52984	19510101	20200103	5.38	1.06	19510102	20200103	0.21
52985	19590401	20150228	-2.46	-0.40	19590401	20150228	0.22
52986	19510101	20200103	-10.87	-2.07	19510102	20200103	0.14
52988	19670501	20150228	-2.82	-0.53	19670501	20150228	0.38
55228	19610101	20200103	2.44	3.38	19610101	20200103	0.43
55248	19730101	20200103	17.15	9.19	19730101	20200103	0.54
55279	19561001	20150228	19.57	6.17	19561001	20150228	0.45
55294	19651101	20150228	19.32	4.31	19651101	20150228	0.36
55299	19540701	20200103	16.73	3.82	19540701	20200103	0.48
55437	19730101	20200103	-2.71	-1.73	19730101	20200103	0.37
55472	19600401	20150228	18.26	5.78	19600401	20150228	0.23
55493	19620801	20200103	2.25	0.47	19620801	20200103	0.38
55569	19770701	20200103	21.09	6.31	19770701	20200103	0.39
55572	19790101	20150228	25.38	5.49	19790101	20150228	0.21
55578	19551201	20150228	4.96	1.15	19551201	20150228	0.21
55585	19730701	20150228	14.24	4.13	19730701	20150228	0.28
55589	19780101	20150228	18.77	4.68	19780101	20150228	0.24
55591	19550101	20150228	7.62	1.71	19550101	20150228	0.43
55593	19780101	20150228	24.92	4.46	19780101	20150228	0.52
55598	19560901	20200103	-0.23	-0.06	19560905	20200103	0.21
55655	19660701	20200103	-6.10	-0.95	19660701	20200103	0.21
55664	19590101	20200103	6.68	2.37	19590111	20200103	0.51
55680	19561101	20200103	-1.25	-0.44	19561101	20200103	0.24
55681	19610401	20150228	8.95	2.47	19610401	20150228	0.26
55690	19670101	20150228	14.63	3.59	19670101	20150228	0.32
55696	19590701	20150228	5.10	1.81	19590701	20150228	0.21
55773	19560201	20150228	13.14	3.05	19560201	20150228	0.17
56004	19561001	20200103	10.93	3.73	19561001	20200103	0.34
56016	19611001	20150228	14.33	3.46	19611001	20150228	0.45
56018	19561001	20200103	9.08	1.71	19561001	20200103	0.35
56021	19560701	20200103	10.21	2.47	19560701	20200103	0.39
56029	19511001	20200103	12.05	2.51	19511002	20200103	0.26
56033	19530101	20200103	11.83	3.62	19530102	20200103	0.30
56034	19560901	20200103	7.84	1.50	19560901	20200103	0.32
56038	19601001	20200103	13.27	2.28	19601001	20200103	0.36
56043	19590101	20200103	6.85	1.32	19590101	20200103	0.36
56045	19590501	20150228	8.28	1.56	19590501	20150228	0.31
56046	19560101	20200103	10.27	1.85	19560101	20200103	0.33
56065	19590501	20200103	-7.29	-1.24	19590501	20200103	-0.09
56067	19581201	20200103	0.21	0.03	19581201	20200103	0.42
56071	19730101	20150228	-0.33	-0.06	19730101	20150228	0.46
56074	19670101	20200103	2.82	0.46	19670101	20200103	0.42
56079	19570101	20200103	4.67	0.71	19570101	20200103	0.38
56080	19570701	20200103	1.35	0.24	19570701	20200103	0.31
56081	19561101	20150228	-3.88	-0.76	19561101	20150228	0.24
56082	19760101	20150228	-7.84	-1.44	19760101	20150228	0.50
56084	19730101	20150228	-19.61	-3.35	19730101	20150228	0.45
56093	19510101	20200103	-0.66	-0.11	19510102	20200103	0.21
56094	19720101	20150228	-6.55	-1.53	19720101	20150228	0.30
56097	19590101	20150228	-6.36	-1.16	19590101	20150228	0.20
56106	19561101	20150228	11.85	2.00	19561101	20150228	0.29
56109	19790101	20150228	18.44	3.04	19790101	20150228	0.39
56116	19540101	20200103	4.04	0.63	19540101	20200103	0.24
56125	19560601	20200103	9.79	1.83	19560601	20200103	0.36
56128	19780701	20150228	11.16	1.85	19780701	20150228	0.49
56137	19540101	20200103	3.24	0.67	19540101	20200103	0.14
